iter	RMSE
0	176.9755709
1	173.3007934
2	169.7801482
3	166.6651738
4	163.587405
5	160.5869698
6	157.2438653
7	154.300665
8	151.2486336
9	148.7166958
10	145.8526541
11	143.452266
12	141.0309811
13	138.3357577
14	135.9415623
15	133.3375674
16	131.362501
17	129.01291
18	127.0963985
19	125.0746794
20	123.3496714
21	121.2889267
22	119.1840171
23	117.6018843
24	115.6879348
25	113.800935
26	112.0507645
27	110.2520572
28	108.3692616
29	107.0269767
30	105.4847606
31	104.1290982
32	102.9179731
33	101.9137505
34	100.7661135
35	99.66684967
36	98.57386958
37	97.05499036
38	95.64591843
39	94.47039398
40	93.24784057
41	92.34145524
42	91.13950236
43	90.26056201
44	89.41675676
45	88.54387118
46	87.41006532
47	86.59863837
48	85.41650957
49	84.7993799
50	83.71246545
51	82.60055043
52	81.6014909
53	80.94677218
54	79.93512138
55	78.96182366
56	78.05494668
57	77.26205945
58	76.49530846
59	75.89241157
60	75.19018736
61	74.42561768
62	73.9284948
63	73.13625324
64	72.47005085
65	71.81130406
66	71.36465975
67	70.96154225
68	70.51147736
69	70.02859309
70	69.60493647
71	69.00421714
72	68.34033436
73	67.76934796
74	67.43019485
75	66.83130604
76	66.32797547
77	65.92521011
78	65.39478685
79	64.94942982
80	64.65214826
81	64.20629194
82	63.74225994
83	63.24602881
84	62.95701638
85	62.53810547
86	62.10596402
87	61.68205664
88	61.4362624
89	61.06376646
90	60.75194738
91	60.52274851
92	60.18429012
93	59.86528546
94	59.50952632
95	59.1781184
96	58.87289807
97	58.52600374
98	58.31380446
99	58.04179806
100	57.86598817
101	57.55148154
102	57.32329603
103	57.08979649
104	56.8299624
105	56.67131699
106	56.50063085
107	56.35897588
108	56.21703894
109	56.03161868
110	55.87325087
111	55.72367324
112	55.5605065
113	55.42057764
114	55.24622854
115	55.0846588
116	54.93795051
117	54.80206987
118	54.67553169
119	54.44034891
120	54.31750569
121	54.1919778
122	54.08622981
123	53.85011246
124	53.76531508
125	53.66245209
126	53.5410692
127	53.42982469
128	53.24765151
129	53.06066026
130	52.93939574
131	52.74222206
132	52.63514792
133	52.53395676
134	52.43671613
135	52.2851805
136	52.17847918
137	52.03681855
138	51.93207068
139	51.8087274
140	51.74567348
141	51.63416277
142	51.51906785
143	51.43818557
144	51.36857689
145	51.18153373
146	51.05048555
147	50.86860545
148	50.78991251
149	50.65297686
150	50.55447739
151	50.41498294
152	50.33095894
153	50.18370544
154	50.10233988
155	50.04945272
156	49.96642256
157	49.90406392
158	49.81440847
159	49.73707813
160	49.62192211
161	49.5510987
162	49.49415323
163	49.38393229
164	49.34648423
165	49.24853704
166	49.12003191
167	49.01601086
168	48.91592358
169	48.76659393
170	48.70452547
171	48.64322591
172	48.5861108
173	48.53750417
174	48.47222726
175	48.32928455
176	48.24766848
177	48.12954747
178	48.08360642
179	48.05097877
180	47.96674523
181	47.9010082
182	47.85992753
183	47.77497275
184	47.72331193
185	47.66644114
186	47.60770659
187	47.53027357
188	47.45356655
189	47.37528961
190	47.30809341
191	47.24528974
192	47.20075537
193	47.14559479
194	47.09657039
195	47.01318613
196	46.96198394
197	46.88715843
198	46.82554526
199	46.75267916
200	46.70800507
201	46.66782035
202	46.61642608
203	46.54099779
204	46.50193233
205	46.4767472
206	46.42593857
207	46.37848175
208	46.33652384
209	46.30965839
210	46.22993728
211	46.19505154
